Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
551A14_S74_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 26.0)	(21.0, 54.0)	(22.0, 77.0)	(23.0, 113.0)	(24.0, 137.0)	(25.0, 187.0)	(26.0, 215.0)	(27.0, 264.0)	(28.0, 378.0)	(29.0, 460.0)	(30.0, 575.0)	(31.0, 785.0)	(32.0, 1037.0)	(33.0, 1477.0)	(34.0, 2234.0)	(35.0, 3591.0)	(36.0, 6961.0)	(37.0, 11835.0)
551A14_S74_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 42.0)	(13.0, 136.0)	(14.0, 112.0)	(15.0, 48.0)	(16.0, 51.0)	(17.0, 61.0)	(18.0, 110.0)	(19.0, 135.0)	(20.0, 203.0)	(21.0, 280.0)	(22.0, 300.0)	(23.0, 448.0)	(24.0, 575.0)	(25.0, 697.0)	(26.0, 967.0)	(27.0, 1349.0)	(28.0, 1671.0)	(29.0, 2291.0)	(30.0, 2795.0)	(31.0, 3765.0)	(32.0, 4563.0)	(33.0, 4819.0)	(34.0, 3669.0)	(35.0, 1273.0)	(36.0, 61.0)	
551B0_S75_L001_R1_001	(16.0, 3.0)	(17.0, 14.0)	(18.0, 20.0)	(19.0, 21.0)	(20.0, 24.0)	(21.0, 41.0)	(22.0, 83.0)	(23.0, 113.0)	(24.0, 128.0)	(25.0, 182.0)	(26.0, 226.0)	(27.0, 243.0)	(28.0, 345.0)	(29.0, 452.0)	(30.0, 546.0)	(31.0, 788.0)	(32.0, 1026.0)	(33.0, 1440.0)	(34.0, 2200.0)	(35.0, 3585.0)	(36.0, 7902.0)	(37.0, 17045.0)														
551B0_S75_L001_R2_001	(11.0, 2.0)	(12.0, 34.0)	(13.0, 161.0)	(14.0, 129.0)	(15.0, 65.0)	(16.0, 58.0)	(17.0, 85.0)	(18.0, 80.0)	(19.0, 166.0)	(20.0, 202.0)	(21.0, 236.0)	(22.0, 336.0)	(23.0, 400.0)	(24.0, 490.0)	(25.0, 691.0)	(26.0, 870.0)	(27.0, 1181.0)	(28.0, 1546.0)	(29.0, 2046.0)	(30.0, 2761.0)	(31.0, 3685.0)	(32.0, 5066.0)	(33.0, 6391.0)	(34.0, 6524.0)	(35.0, 2974.0)	(36.0, 246.0)	(37.0, 2.0)									
551B14_S76_L001_R1_001	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 2.0)	(18.0, 4.0)	(19.0, 15.0)	(20.0, 23.0)	(21.0, 50.0)	(22.0, 106.0)	(23.0, 132.0)	(24.0, 201.0)	(25.0, 201.0)	(26.0, 239.0)	(27.0, 356.0)	(28.0, 421.0)	(29.0, 512.0)	(30.0, 700.0)	(31.0, 922.0)	(32.0, 1273.0)	(33.0, 1726.0)	(34.0, 2605.0)	(35.0, 4401.0)	(36.0, 9168.0)	(37.0, 19785.0)											
551B14_S76_L001_R2_001	(11.0, 1.0)	(12.0, 37.0)	(13.0, 159.0)	(14.0, 126.0)	(15.0, 62.0)	(16.0, 78.0)	(17.0, 105.0)	(18.0, 153.0)	(19.0, 223.0)	(20.0, 246.0)	(21.0, 318.0)	(22.0, 442.0)	(23.0, 509.0)	(24.0, 639.0)	(25.0, 846.0)	(26.0, 1115.0)	(27.0, 1386.0)	(28.0, 1874.0)	(29.0, 2535.0)	(30.0, 3489.0)	(31.0, 4489.0)	(32.0, 6166.0)	(33.0, 7698.0)	(34.0, 7064.0)	(35.0, 2903.0)	(36.0, 178.0)	(37.0, 2.0)									
554A0_S69_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 5.0)	(17.0, 9.0)	(18.0, 9.0)	(19.0, 16.0)	(20.0, 19.0)	(21.0, 43.0)	(22.0, 73.0)	(23.0, 95.0)	(24.0, 102.0)	(25.0, 144.0)	(26.0, 194.0)	(27.0, 215.0)	(28.0, 281.0)	(29.0, 342.0)	(30.0, 434.0)	(31.0, 541.0)	(32.0, 776.0)	(33.0, 1086.0)	(34.0, 1508.0)	(35.0, 2432.0)	(36.0, 5075.0)	(37.0, 8390.0)
554A0_S69_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 32.0)	(13.0, 113.0)	(14.0, 84.0)	(15.0, 61.0)	(16.0, 38.0)	(17.0, 40.0)	(18.0, 74.0)	(19.0, 75.0)	(20.0, 87.0)	(21.0, 161.0)	(22.0, 204.0)	(23.0, 241.0)	(24.0, 330.0)	(25.0, 461.0)	(26.0, 564.0)	(27.0, 772.0)	(28.0, 987.0)	(29.0, 1296.0)	(30.0, 1688.0)	(31.0, 2300.0)	(32.0, 3083.0)	(33.0, 3746.0)	(34.0, 3531.0)	(35.0, 1663.0)	(36.0, 155.0)	(37.0, 4.0)
554A14_S70_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 10.0)	(20.0, 26.0)	(21.0, 47.0)	(22.0, 94.0)	(23.0, 143.0)	(24.0, 137.0)	(25.0, 196.0)	(26.0, 227.0)	(27.0, 276.0)	(28.0, 331.0)	(29.0, 434.0)	(30.0, 504.0)	(31.0, 692.0)	(32.0, 912.0)	(33.0, 1195.0)	(34.0, 1772.0)	(35.0, 2931.0)	(36.0, 5691.0)	(37.0, 8550.0)
554A14_S70_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 33.0)	(13.0, 105.0)	(14.0, 65.0)	(15.0, 50.0)	(16.0, 50.0)	(17.0, 38.0)	(18.0, 79.0)	(19.0, 90.0)	(20.0, 120.0)	(21.0, 179.0)	(22.0, 213.0)	(23.0, 284.0)	(24.0, 398.0)	(25.0, 548.0)	(26.0, 697.0)	(27.0, 869.0)	(28.0, 1117.0)	(29.0, 1595.0)	(30.0, 2114.0)	(31.0, 2865.0)	(32.0, 3451.0)	(33.0, 3816.0)	(34.0, 3476.0)	(35.0, 1756.0)	(36.0, 160.0)	(37.0, 2.0)
554B0_S71_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 7.0)	(20.0, 10.0)	(21.0, 35.0)	(22.0, 80.0)	(23.0, 119.0)	(24.0, 125.0)	(25.0, 160.0)	(26.0, 195.0)	(27.0, 255.0)	(28.0, 295.0)	(29.0, 370.0)	(30.0, 481.0)	(31.0, 594.0)	(32.0, 814.0)	(33.0, 1066.0)	(34.0, 1611.0)	(35.0, 2764.0)	(36.0, 5553.0)	(37.0, 9263.0)
554B0_S71_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 40.0)	(13.0, 126.0)	(14.0, 83.0)	(15.0, 35.0)	(16.0, 45.0)	(17.0, 59.0)	(18.0, 84.0)	(19.0, 105.0)	(20.0, 138.0)	(21.0, 185.0)	(22.0, 238.0)	(23.0, 292.0)	(24.0, 385.0)	(25.0, 504.0)	(26.0, 741.0)	(27.0, 961.0)	(28.0, 1174.0)	(29.0, 1558.0)	(30.0, 2149.0)	(31.0, 2827.0)	(32.0, 3573.0)	(33.0, 3715.0)	(34.0, 3149.0)	(35.0, 1471.0)	(36.0, 160.0)	(37.0, 4.0)
554B14_S72_L001_R1_001	(16.0, 1.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 19.0)	(21.0, 36.0)	(22.0, 82.0)	(23.0, 124.0)	(24.0, 147.0)	(25.0, 155.0)	(26.0, 208.0)	(27.0, 276.0)	(28.0, 318.0)	(29.0, 393.0)	(30.0, 513.0)	(31.0, 676.0)	(32.0, 900.0)	(33.0, 1244.0)	(34.0, 1811.0)	(35.0, 2887.0)	(36.0, 6226.0)	(37.0, 9141.0)														
554B14_S72_L001_R2_001	(11.0, 4.0)	(12.0, 40.0)	(13.0, 118.0)	(14.0, 72.0)	(15.0, 54.0)	(16.0, 53.0)	(17.0, 72.0)	(18.0, 98.0)	(19.0, 140.0)	(20.0, 161.0)	(21.0, 217.0)	(22.0, 301.0)	(23.0, 336.0)	(24.0, 435.0)	(25.0, 616.0)	(26.0, 762.0)	(27.0, 933.0)	(28.0, 1210.0)	(29.0, 1595.0)	(30.0, 2264.0)	(31.0, 2901.0)	(32.0, 3626.0)	(33.0, 3954.0)	(34.0, 3439.0)	(35.0, 1631.0)	(36.0, 130.0)	(37.0, 3.0)									
574A0_S97_L001_R1_001	(17.0, 1.0)	(18.0, 7.0)	(19.0, 15.0)	(20.0, 22.0)	(21.0, 59.0)	(22.0, 133.0)	(23.0, 180.0)	(24.0, 230.0)	(25.0, 292.0)	(26.0, 387.0)	(27.0, 458.0)	(28.0, 596.0)	(29.0, 728.0)	(30.0, 907.0)	(31.0, 1175.0)	(32.0, 1546.0)	(33.0, 2242.0)	(34.0, 3364.0)	(35.0, 5698.0)	(36.0, 12327.0)	(37.0, 31037.0)															
574A0_S97_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 71.0)	(13.0, 227.0)	(14.0, 194.0)	(15.0, 95.0)	(16.0, 124.0)	(17.0, 148.0)	(18.0, 183.0)	(19.0, 259.0)	(20.0, 369.0)	(21.0, 433.0)	(22.0, 534.0)	(23.0, 688.0)	(24.0, 917.0)	(25.0, 1138.0)	(26.0, 1524.0)	(27.0, 1924.0)	(28.0, 2584.0)	(29.0, 3549.0)	(30.0, 4746.0)	(31.0, 6391.0)	(32.0, 9012.0)	(33.0, 11547.0)	(34.0, 10650.0)	(35.0, 3875.0)	(36.0, 216.0)	(37.0, 1.0)
574A14_S98_L001_R1_001	(17.0, 1.0)	(18.0, 4.0)	(19.0, 9.0)	(20.0, 23.0)	(21.0, 59.0)	(22.0, 93.0)	(23.0, 133.0)	(24.0, 171.0)	(25.0, 230.0)	(26.0, 247.0)	(27.0, 311.0)	(28.0, 383.0)	(29.0, 452.0)	(30.0, 628.0)	(31.0, 808.0)	(32.0, 1093.0)	(33.0, 1500.0)	(34.0, 2259.0)	(35.0, 3799.0)	(36.0, 8026.0)	(37.0, 19358.0)															
574A14_S98_L001_R2_001	(11.0, 5.0)	(12.0, 53.0)	(13.0, 172.0)	(14.0, 137.0)	(15.0, 80.0)	(16.0, 76.0)	(17.0, 90.0)	(18.0, 128.0)	(19.0, 166.0)	(20.0, 171.0)	(21.0, 269.0)	(22.0, 314.0)	(23.0, 384.0)	(24.0, 513.0)	(25.0, 688.0)	(26.0, 861.0)	(27.0, 1171.0)	(28.0, 1581.0)	(29.0, 2165.0)	(30.0, 2932.0)	(31.0, 4042.0)	(32.0, 5525.0)	(33.0, 7447.0)	(34.0, 7356.0)	(35.0, 3044.0)	(36.0, 213.0)	(37.0, 4.0)									
574B0_S99_L001_R1_001	(17.0, 2.0)	(18.0, 3.0)	(19.0, 6.0)	(20.0, 15.0)	(21.0, 43.0)	(22.0, 87.0)	(23.0, 120.0)	(24.0, 149.0)	(25.0, 174.0)	(26.0, 211.0)	(27.0, 268.0)	(28.0, 338.0)	(29.0, 403.0)	(30.0, 542.0)	(31.0, 653.0)	(32.0, 923.0)	(33.0, 1330.0)	(34.0, 2107.0)	(35.0, 3449.0)	(36.0, 7343.0)	(37.0, 18493.0)															
574B0_S99_L001_R2_001	(11.0, 2.0)	(12.0, 51.0)	(13.0, 160.0)	(14.0, 112.0)	(15.0, 85.0)	(16.0, 81.0)	(17.0, 81.0)	(18.0, 133.0)	(19.0, 165.0)	(20.0, 187.0)	(21.0, 248.0)	(22.0, 323.0)	(23.0, 425.0)	(24.0, 508.0)	(25.0, 661.0)	(26.0, 857.0)	(27.0, 1172.0)	(28.0, 1549.0)	(29.0, 2151.0)	(30.0, 2920.0)	(31.0, 3949.0)	(32.0, 5311.0)	(33.0, 6974.0)	(34.0, 6182.0)	(35.0, 2253.0)	(36.0, 117.0)	(37.0, 2.0)									
574B14_S100_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 17.0)	(21.0, 41.0)	(22.0, 87.0)	(23.0, 113.0)	(24.0, 137.0)	(25.0, 159.0)	(26.0, 209.0)	(27.0, 234.0)	(28.0, 327.0)	(29.0, 406.0)	(30.0, 504.0)	(31.0, 674.0)	(32.0, 893.0)	(33.0, 1226.0)	(34.0, 1891.0)	(35.0, 3188.0)	(36.0, 6729.0)	(37.0, 16917.0)															
574B14_S100_L001_R2_001	(11.0, 5.0)	(12.0, 63.0)	(13.0, 116.0)	(14.0, 97.0)	(15.0, 76.0)	(16.0, 60.0)	(17.0, 94.0)	(18.0, 135.0)	(19.0, 157.0)	(20.0, 204.0)	(21.0, 252.0)	(22.0, 337.0)	(23.0, 382.0)	(24.0, 506.0)	(25.0, 653.0)	(26.0, 903.0)	(27.0, 1145.0)	(28.0, 1535.0)	(29.0, 2066.0)	(30.0, 2733.0)	(31.0, 3660.0)	(32.0, 5271.0)	(33.0, 6316.0)	(34.0, 5299.0)	(35.0, 1629.0)	(36.0, 68.0)	(37.0, 1.0)									
576A0_S93_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 5.0)	(20.0, 18.0)	(21.0, 25.0)	(22.0, 57.0)	(23.0, 80.0)	(24.0, 115.0)	(25.0, 147.0)	(26.0, 162.0)	(27.0, 244.0)	(28.0, 299.0)	(29.0, 409.0)	(30.0, 477.0)	(31.0, 623.0)	(32.0, 887.0)	(33.0, 1188.0)	(34.0, 1753.0)	(35.0, 3030.0)	(36.0, 6349.0)	(37.0, 12927.0)
576A0_S93_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 34.0)	(13.0, 135.0)	(14.0, 102.0)	(15.0, 41.0)	(16.0, 31.0)	(17.0, 55.0)	(18.0, 64.0)	(19.0, 102.0)	(20.0, 114.0)	(21.0, 156.0)	(22.0, 208.0)	(23.0, 290.0)	(24.0, 394.0)	(25.0, 447.0)	(26.0, 637.0)	(27.0, 802.0)	(28.0, 1035.0)	(29.0, 1449.0)	(30.0, 1956.0)	(31.0, 2713.0)	(32.0, 3774.0)	(33.0, 4991.0)	(34.0, 5681.0)	(35.0, 3229.0)	(36.0, 355.0)	(37.0, 3.0)
576A14_S94_L001_R1_001	(18.0, 6.0)	(19.0, 15.0)	(20.0, 15.0)	(21.0, 55.0)	(22.0, 91.0)	(23.0, 119.0)	(24.0, 153.0)	(25.0, 189.0)	(26.0, 254.0)	(27.0, 279.0)	(28.0, 373.0)	(29.0, 466.0)	(30.0, 628.0)	(31.0, 774.0)	(32.0, 1031.0)	(33.0, 1541.0)	(34.0, 2231.0)	(35.0, 3617.0)	(36.0, 7451.0)	(37.0, 13465.0)																
576A14_S94_L001_R2_001	(11.0, 1.0)	(12.0, 31.0)	(13.0, 171.0)	(14.0, 106.0)	(15.0, 52.0)	(16.0, 48.0)	(17.0, 52.0)	(18.0, 75.0)	(19.0, 105.0)	(20.0, 146.0)	(21.0, 168.0)	(22.0, 221.0)	(23.0, 313.0)	(24.0, 378.0)	(25.0, 532.0)	(26.0, 680.0)	(27.0, 910.0)	(28.0, 1258.0)	(29.0, 1613.0)	(30.0, 2254.0)	(31.0, 3128.0)	(32.0, 4372.0)	(33.0, 5858.0)	(34.0, 6258.0)	(35.0, 3642.0)	(36.0, 378.0)	(37.0, 3.0)									
576B0_S95_L001_R1_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 13.0)	(20.0, 18.0)	(21.0, 40.0)	(22.0, 84.0)	(23.0, 133.0)	(24.0, 147.0)	(25.0, 200.0)	(26.0, 257.0)	(27.0, 311.0)	(28.0, 398.0)	(29.0, 525.0)	(30.0, 624.0)	(31.0, 862.0)	(32.0, 1207.0)	(33.0, 1665.0)	(34.0, 2392.0)	(35.0, 4000.0)	(36.0, 8616.0)	(37.0, 18912.0)
576B0_S95_L001_R2_001	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 39.0)	(13.0, 176.0)	(14.0, 132.0)	(15.0, 66.0)	(16.0, 77.0)	(17.0, 64.0)	(18.0, 112.0)	(19.0, 131.0)	(20.0, 209.0)	(21.0, 217.0)	(22.0, 333.0)	(23.0, 388.0)	(24.0, 511.0)	(25.0, 645.0)	(26.0, 842.0)	(27.0, 1151.0)	(28.0, 1545.0)	(29.0, 1981.0)	(30.0, 2733.0)	(31.0, 3804.0)	(32.0, 5242.0)	(33.0, 7003.0)	(34.0, 7927.0)	(35.0, 4603.0)	(36.0, 468.0)	(37.0, 8.0)
576B14_S96_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 33.0)	(21.0, 48.0)	(22.0, 95.0)	(23.0, 166.0)	(24.0, 212.0)	(25.0, 287.0)	(26.0, 332.0)	(27.0, 461.0)	(28.0, 600.0)	(29.0, 720.0)	(30.0, 936.0)	(31.0, 1232.0)	(32.0, 1660.0)	(33.0, 2326.0)	(34.0, 3465.0)	(35.0, 5701.0)	(36.0, 11923.0)	(37.0, 23174.0)															
576B14_S96_L001_R2_001	(11.0, 2.0)	(12.0, 79.0)	(13.0, 224.0)	(14.0, 174.0)	(15.0, 82.0)	(16.0, 84.0)	(17.0, 129.0)	(18.0, 152.0)	(19.0, 217.0)	(20.0, 308.0)	(21.0, 377.0)	(22.0, 527.0)	(23.0, 601.0)	(24.0, 738.0)	(25.0, 969.0)	(26.0, 1204.0)	(27.0, 1620.0)	(28.0, 2054.0)	(29.0, 2743.0)	(30.0, 3695.0)	(31.0, 5018.0)	(32.0, 6890.0)	(33.0, 9160.0)	(34.0, 10124.0)	(35.0, 5645.0)	(36.0, 564.0)	(37.0, 7.0)									
578A0_S101_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 15.0)	(21.0, 32.0)	(22.0, 62.0)	(23.0, 96.0)	(24.0, 120.0)	(25.0, 137.0)	(26.0, 185.0)	(27.0, 212.0)	(28.0, 243.0)	(29.0, 347.0)	(30.0, 498.0)	(31.0, 543.0)	(32.0, 764.0)	(33.0, 1042.0)	(34.0, 1578.0)	(35.0, 2640.0)	(36.0, 5729.0)	(37.0, 13218.0)															
578A0_S101_L001_R2_001	(11.0, 1.0)	(12.0, 41.0)	(13.0, 117.0)	(14.0, 91.0)	(15.0, 63.0)	(16.0, 36.0)	(17.0, 66.0)	(18.0, 75.0)	(19.0, 100.0)	(20.0, 133.0)	(21.0, 178.0)	(22.0, 206.0)	(23.0, 295.0)	(24.0, 368.0)	(25.0, 480.0)	(26.0, 653.0)	(27.0, 820.0)	(28.0, 1051.0)	(29.0, 1525.0)	(30.0, 2007.0)	(31.0, 2874.0)	(32.0, 4259.0)	(33.0, 5419.0)	(34.0, 4851.0)	(35.0, 1664.0)	(36.0, 95.0)	(37.0, 1.0)									
578A14_S102_L001_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 4.0)	(20.0, 16.0)	(21.0, 43.0)	(22.0, 82.0)	(23.0, 119.0)	(24.0, 138.0)	(25.0, 163.0)	(26.0, 198.0)	(27.0, 243.0)	(28.0, 289.0)	(29.0, 359.0)	(30.0, 456.0)	(31.0, 617.0)	(32.0, 775.0)	(33.0, 1108.0)	(34.0, 1686.0)	(35.0, 2662.0)	(36.0, 5883.0)	(37.0, 12753.0)													
578A14_S102_L001_R2_001	(11.0, 1.0)	(12.0, 50.0)	(13.0, 133.0)	(14.0, 92.0)	(15.0, 49.0)	(16.0, 59.0)	(17.0, 65.0)	(18.0, 88.0)	(19.0, 121.0)	(20.0, 150.0)	(21.0, 172.0)	(22.0, 219.0)	(23.0, 295.0)	(24.0, 367.0)	(25.0, 472.0)	(26.0, 648.0)	(27.0, 824.0)	(28.0, 1078.0)	(29.0, 1508.0)	(30.0, 2052.0)	(31.0, 2815.0)	(32.0, 3934.0)	(33.0, 5335.0)	(34.0, 4906.0)	(35.0, 2054.0)	(36.0, 109.0)										
578B0_S103_L001_R1_001	(18.0, 4.0)	(19.0, 5.0)	(20.0, 12.0)	(21.0, 41.0)	(22.0, 68.0)	(23.0, 96.0)	(24.0, 118.0)	(25.0, 135.0)	(26.0, 178.0)	(27.0, 210.0)	(28.0, 263.0)	(29.0, 295.0)	(30.0, 430.0)	(31.0, 531.0)	(32.0, 758.0)	(33.0, 1063.0)	(34.0, 1583.0)	(35.0, 2661.0)	(36.0, 5662.0)	(37.0, 13666.0)																
578B0_S103_L001_R2_001	(11.0, 5.0)	(12.0, 42.0)	(13.0, 98.0)	(14.0, 103.0)	(15.0, 59.0)	(16.0, 37.0)	(17.0, 61.0)	(18.0, 67.0)	(19.0, 102.0)	(20.0, 111.0)	(21.0, 194.0)	(22.0, 212.0)	(23.0, 269.0)	(24.0, 337.0)	(25.0, 449.0)	(26.0, 599.0)	(27.0, 762.0)	(28.0, 993.0)	(29.0, 1393.0)	(30.0, 1893.0)	(31.0, 2658.0)	(32.0, 3778.0)	(33.0, 5443.0)	(34.0, 5488.0)	(35.0, 2427.0)	(36.0, 198.0)	(37.0, 1.0)									
578B14_S104_L001_R1_001	(17.0, 1.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 12.0)	(21.0, 25.0)	(22.0, 63.0)	(23.0, 77.0)	(24.0, 100.0)	(25.0, 121.0)	(26.0, 124.0)	(27.0, 170.0)	(28.0, 235.0)	(29.0, 317.0)	(30.0, 413.0)	(31.0, 566.0)	(32.0, 696.0)	(33.0, 977.0)	(34.0, 1514.0)	(35.0, 2406.0)	(36.0, 5030.0)	(37.0, 10782.0)															
578B14_S104_L001_R2_001	(11.0, 2.0)	(12.0, 28.0)	(13.0, 95.0)	(14.0, 73.0)	(15.0, 33.0)	(16.0, 40.0)	(17.0, 70.0)	(18.0, 83.0)	(19.0, 100.0)	(20.0, 157.0)	(21.0, 189.0)	(22.0, 234.0)	(23.0, 340.0)	(24.0, 383.0)	(25.0, 483.0)	(26.0, 643.0)	(27.0, 766.0)	(28.0, 1041.0)	(29.0, 1404.0)	(30.0, 1873.0)	(31.0, 2569.0)	(32.0, 3536.0)	(33.0, 4399.0)	(34.0, 3727.0)	(35.0, 1287.0)	(36.0, 87.0)	(37.0, 2.0)									
583A0_S129_L001_R1_001	(17.0, 1.0)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 21.0)	(21.0, 37.0)	(22.0, 99.0)	(23.0, 143.0)	(24.0, 147.0)	(25.0, 177.0)	(26.0, 205.0)	(27.0, 257.0)	(28.0, 312.0)	(29.0, 384.0)	(30.0, 504.0)	(31.0, 670.0)	(32.0, 900.0)	(33.0, 1198.0)	(34.0, 1847.0)	(35.0, 3079.0)	(36.0, 6453.0)	(37.0, 14954.0)															
583A0_S129_L001_R2_001	(11.0, 2.0)	(12.0, 49.0)	(13.0, 147.0)	(14.0, 123.0)	(15.0, 69.0)	(16.0, 69.0)	(17.0, 100.0)	(18.0, 105.0)	(19.0, 162.0)	(20.0, 205.0)	(21.0, 226.0)	(22.0, 307.0)	(23.0, 395.0)	(24.0, 520.0)	(25.0, 612.0)	(26.0, 812.0)	(27.0, 1069.0)	(28.0, 1409.0)	(29.0, 1841.0)	(30.0, 2485.0)	(31.0, 3291.0)	(32.0, 3946.0)	(33.0, 5261.0)	(34.0, 5456.0)	(35.0, 2549.0)	(36.0, 188.0)										
583A14_S130_L001_R1_001	(18.0, 2.0)	(19.0, 5.0)	(20.0, 18.0)	(21.0, 37.0)	(22.0, 65.0)	(23.0, 103.0)	(24.0, 125.0)	(25.0, 129.0)	(26.0, 166.0)	(27.0, 240.0)	(28.0, 255.0)	(29.0, 336.0)	(30.0, 444.0)	(31.0, 586.0)	(32.0, 714.0)	(33.0, 1041.0)	(34.0, 1557.0)	(35.0, 2584.0)	(36.0, 5419.0)	(37.0, 13973.0)																
583A14_S130_L001_R2_001	(11.0, 2.0)	(12.0, 41.0)	(13.0, 149.0)	(14.0, 108.0)	(15.0, 70.0)	(16.0, 76.0)	(17.0, 74.0)	(18.0, 82.0)	(19.0, 107.0)	(20.0, 139.0)	(21.0, 180.0)	(22.0, 219.0)	(23.0, 274.0)	(24.0, 364.0)	(25.0, 424.0)	(26.0, 593.0)	(27.0, 793.0)	(28.0, 1027.0)	(29.0, 1293.0)	(30.0, 1847.0)	(31.0, 2646.0)	(32.0, 3521.0)	(33.0, 5028.0)	(34.0, 5437.0)	(35.0, 3005.0)	(36.0, 298.0)	(37.0, 2.0)									
