Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
519B0_S35_L001_R1_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 3.0)	(19.0, 12.0)	(20.0, 8.0)	(21.0, 26.0)	(22.0, 54.0)	(23.0, 89.0)	(24.0, 95.0)	(25.0, 146.0)	(26.0, 169.0)	(27.0, 204.0)	(28.0, 260.0)	(29.0, 357.0)	(30.0, 455.0)	(31.0, 590.0)	(32.0, 753.0)	(33.0, 1119.0)	(34.0, 1678.0)	(35.0, 2814.0)	(36.0, 6033.0)	(37.0, 10509.0)
519B0_S35_L001_R2_001	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 36.0)	(13.0, 99.0)	(14.0, 70.0)	(15.0, 47.0)	(16.0, 39.0)	(17.0, 54.0)	(18.0, 85.0)	(19.0, 117.0)	(20.0, 149.0)	(21.0, 207.0)	(22.0, 256.0)	(23.0, 369.0)	(24.0, 396.0)	(25.0, 537.0)	(26.0, 719.0)	(27.0, 976.0)	(28.0, 1308.0)	(29.0, 1783.0)	(30.0, 2350.0)	(31.0, 2943.0)	(32.0, 3825.0)	(33.0, 4277.0)	(34.0, 3343.0)	(35.0, 1304.0)	(36.0, 76.0)	(37.0, 6.0)
519B14_S36_L001_R1_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 11.0)	(21.0, 27.0)	(22.0, 61.0)	(23.0, 99.0)	(24.0, 120.0)	(25.0, 140.0)	(26.0, 184.0)	(27.0, 208.0)	(28.0, 264.0)	(29.0, 377.0)	(30.0, 441.0)	(31.0, 654.0)	(32.0, 784.0)	(33.0, 1213.0)	(34.0, 1837.0)	(35.0, 2989.0)	(36.0, 6282.0)	(37.0, 14386.0)
519B14_S36_L001_R2_001	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 46.0)	(13.0, 118.0)	(14.0, 77.0)	(15.0, 45.0)	(16.0, 40.0)	(17.0, 51.0)	(18.0, 82.0)	(19.0, 118.0)	(20.0, 153.0)	(21.0, 197.0)	(22.0, 244.0)	(23.0, 332.0)	(24.0, 380.0)	(25.0, 542.0)	(26.0, 714.0)	(27.0, 938.0)	(28.0, 1235.0)	(29.0, 1603.0)	(30.0, 2269.0)	(31.0, 3097.0)	(32.0, 4254.0)	(33.0, 5335.0)	(34.0, 5443.0)	(35.0, 2546.0)	(36.0, 218.0)	(37.0, 3.0)
521A0_S25_L001_R1_001	(18.0, 2.0)	(19.0, 11.0)	(20.0, 11.0)	(21.0, 26.0)	(22.0, 47.0)	(23.0, 87.0)	(24.0, 101.0)	(25.0, 164.0)	(26.0, 169.0)	(27.0, 213.0)	(28.0, 276.0)	(29.0, 315.0)	(30.0, 419.0)	(31.0, 528.0)	(32.0, 793.0)	(33.0, 1069.0)	(34.0, 1594.0)	(35.0, 2694.0)	(36.0, 5573.0)	(37.0, 13421.0)																
521A0_S25_L001_R2_001	(11.0, 2.0)	(12.0, 34.0)	(13.0, 105.0)	(14.0, 107.0)	(15.0, 56.0)	(16.0, 45.0)	(17.0, 51.0)	(18.0, 84.0)	(19.0, 104.0)	(20.0, 123.0)	(21.0, 137.0)	(22.0, 214.0)	(23.0, 286.0)	(24.0, 342.0)	(25.0, 412.0)	(26.0, 581.0)	(27.0, 706.0)	(28.0, 996.0)	(29.0, 1255.0)	(30.0, 1775.0)	(31.0, 2432.0)	(32.0, 3343.0)	(33.0, 4687.0)	(34.0, 5680.0)	(35.0, 3531.0)	(36.0, 422.0)	(37.0, 3.0)									
521A14_S26_L001_R1_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 2.0)	(19.0, 12.0)	(20.0, 11.0)	(21.0, 28.0)	(22.0, 60.0)	(23.0, 91.0)	(24.0, 138.0)	(25.0, 152.0)	(26.0, 175.0)	(27.0, 214.0)	(28.0, 285.0)	(29.0, 340.0)	(30.0, 449.0)	(31.0, 616.0)	(32.0, 832.0)	(33.0, 1134.0)	(34.0, 1742.0)	(35.0, 2903.0)	(36.0, 6050.0)	(37.0, 12978.0)
521A14_S26_L001_R2_001	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 35.0)	(13.0, 138.0)	(14.0, 99.0)	(15.0, 54.0)	(16.0, 53.0)	(17.0, 57.0)	(18.0, 64.0)	(19.0, 86.0)	(20.0, 110.0)	(21.0, 146.0)	(22.0, 203.0)	(23.0, 247.0)	(24.0, 308.0)	(25.0, 450.0)	(26.0, 541.0)	(27.0, 766.0)	(28.0, 1024.0)	(29.0, 1387.0)	(30.0, 1890.0)	(31.0, 2694.0)	(32.0, 3645.0)	(33.0, 4848.0)	(34.0, 5519.0)	(35.0, 3431.0)	(36.0, 412.0)	(37.0, 1.0)
521B0_S27_L001_R1_001	(18.0, 6.0)	(19.0, 11.0)	(20.0, 9.0)	(21.0, 27.0)	(22.0, 66.0)	(23.0, 105.0)	(24.0, 148.0)	(25.0, 182.0)	(26.0, 213.0)	(27.0, 309.0)	(28.0, 363.0)	(29.0, 499.0)	(30.0, 652.0)	(31.0, 862.0)	(32.0, 1214.0)	(33.0, 1615.0)	(34.0, 2322.0)	(35.0, 3733.0)	(36.0, 7341.0)	(37.0, 10357.0)																
521B0_S27_L001_R2_001	(11.0, 4.0)	(12.0, 34.0)	(13.0, 144.0)	(14.0, 109.0)	(15.0, 63.0)	(16.0, 81.0)	(17.0, 104.0)	(18.0, 164.0)	(19.0, 203.0)	(20.0, 285.0)	(21.0, 386.0)	(22.0, 476.0)	(23.0, 646.0)	(24.0, 847.0)	(25.0, 1033.0)	(26.0, 1285.0)	(27.0, 1756.0)	(28.0, 2104.0)	(29.0, 2583.0)	(30.0, 3211.0)	(31.0, 3759.0)	(32.0, 4048.0)	(33.0, 3730.0)	(34.0, 2306.0)	(35.0, 638.0)	(36.0, 34.0)	(37.0, 1.0)									
