Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
523A0_S17_L001_R1_001	(1.0, 5.286447115949406)	(2.0, 1.542859380506716)	(3.0, 1.01029878215922)	(4.0, 0.7361867094803618)	(5.0, 0.6852801816971453)	(6.0, 0.4934017308219446)	(7.0, 0.5482241453577162)	(8.0, 0.5012335043270548)	(9.0, 0.4934017308219446)	('>10', 7.475427810627716)	('>50', 7.741708109801465)	('>100', 18.27152758742217)	('>500', 11.931706935035438)	('>1k', 43.2822962759917)	('>5k', 0.0)	('>10k+', 0.0)
523A0_S17_L001_R2_001	(1.0, 8.270352821396406)	(2.0, 1.8091396796804635)	(3.0, 1.2217566667971962)	(4.0, 0.7831773505110231)	(5.0, 0.39158867525551155)	(6.0, 0.4229157692759525)	(7.0, 0.1918784508752007)	(8.0, 0.15663547010220463)	(9.0, 0.1409719230919842)	('>10', 3.265849551630967)	('>50', 4.374045502604065)	('>100', 10.47891294983749)	('>500', 20.272545717977835)	('>1k', 48.2202294709637)	('>5k', 0.0)	('>10k+', 0.0)
523A14_S18_L001_R1_001	(1.0, 5.6663837011884555)	(2.0, 1.8505942275042444)	(3.0, 0.9550084889643463)	(4.0, 0.8488964346349746)	(5.0, 0.7427843803056027)	(6.0, 0.7894736842105263)	(7.0, 0.3862478777589134)	(8.0, 0.40747028862478774)	(9.0, 0.6876061120543293)	('>10', 10.161290322580644)	('>50', 3.573853989813243)	('>100', 22.02886247877759)	('>500', 22.572156196943975)	('>1k', 29.32937181663837)	('>5k', 0.0)	('>10k+', 0.0)
523A14_S18_L001_R2_001	(1.0, 8.781833616298812)	(2.0, 2.0797962648556876)	(3.0, 1.133276740237691)	(4.0, 0.6281833616298811)	(5.0, 0.5730050933786078)	(6.0, 0.2801358234295416)	(7.0, 0.17826825127334464)	(8.0, 0.30560271646859083)	(9.0, 0.22920203735144312)	('>10', 4.902376910016978)	('>50', 3.994057724957555)	('>100', 10.509337860780985)	('>500', 25.004244482173178)	('>1k', 41.40067911714771)	('>5k', 0.0)	('>10k+', 0.0)
523B0_S19_L001_R1_001	(1.0, 6.630849060935849)	(2.0, 1.8092482894797264)	(3.0, 1.0194241631078662)	(4.0, 0.9551361528217844)	(5.0, 0.5740000918400147)	(6.0, 0.6888001102080177)	(7.0, 0.6107360977177756)	(8.0, 0.40409606465537035)	(9.0, 0.5372640859622537)	('>10', 9.758001561280249)	('>50', 5.698672911787666)	('>100', 24.438627910180465)	('>500', 28.62194057951049)	('>1k', 18.253202920512468)	('>5k', 0.0)	('>10k+', 0.0)
523B0_S19_L001_R2_001	(1.0, 9.73963355834137)	(2.0, 1.8276162924186066)	(3.0, 0.8954401432704229)	(4.0, 0.5510400881664141)	(5.0, 0.32144005143040827)	(6.0, 0.41328006612481055)	(7.0, 0.19286403085824494)	(8.0, 0.14694402351104377)	(9.0, 0.16531202644992424)	('>10', 6.336961013913762)	('>50', 6.4655370344859255)	('>100', 22.817651650824263)	('>500', 22.785507645681225)	('>1k', 27.34077237452358)	('>5k', 0.0)	('>10k+', 0.0)
523B14_S20_L001_R1_001	(1.0, 6.1098816511113245)	(2.0, 1.9243721735783699)	(3.0, 1.1979216780525355)	(4.0, 0.8852111998460502)	(5.0, 0.8900221302799962)	(6.0, 0.6639083998845376)	(7.0, 0.47147118252670067)	(8.0, 0.7312614259597806)	(9.0, 0.4762821129606466)	('>10', 12.157221206581353)	('>50', 5.53738092947176)	('>100', 19.007986144520352)	('>500', 30.361781968632734)	('>1k', 19.585297796593863)	('>5k', 0.0)	('>10k+', 0.0)
523B14_S20_L001_R2_001	(1.0, 9.809487154815741)	(2.0, 1.8473972866352353)	(3.0, 1.1401905128451844)	(4.0, 0.8082363129029154)	(5.0, 0.5292023477340517)	(6.0, 0.37525257384778216)	(7.0, 0.47147118252670067)	(8.0, 0.2309246608294044)	(9.0, 0.12989512171654)	('>10', 4.724333686134898)	('>50', 2.9394784951409605)	('>100', 14.50976618878091)	('>500', 17.935148657750407)	('>1k', 44.54921581833926)	('>5k', 0.0)	('>10k+', 0.0)
528A0_S53_L001_R1_001	(1.0, 6.594734210964839)	(2.0, 2.207965339110148)	(3.0, 1.1873021163139477)	(4.0, 0.9331778036993834)	(5.0, 0.8956840526578904)	(6.0, 0.5999000166638894)	(7.0, 0.4082652891184802)	(8.0, 1.066488918513581)	(9.0, 0.37493751041493084)	('>10', 10.048325279120146)	('>50', 4.674220963172805)	('>100', 29.49925012497917)	('>500', 20.83402766205632)	('>1k', 20.675720713214467)	('>5k', 0.0)	('>10k+', 0.0)
528A0_S53_L001_R2_001	(1.0, 8.827695384102649)	(2.0, 1.9663389435094152)	(3.0, 0.7998666888851859)	(4.0, 0.5332444592567905)	(5.0, 0.5207465422429596)	(6.0, 0.2999500083319447)	(7.0, 0.14580903182802868)	(8.0, 0.13331111481419763)	(9.0, 0.14997500416597234)	('>10', 3.4619230128311944)	('>50', 1.145642392934511)	('>100', 28.974337610398265)	('>500', 18.98433594400933)	('>1k', 34.05682386268955)	('>5k', 0.0)	('>10k+', 0.0)
